density_band,density_label,world_x,world_z,build_zdos_500m,total_zdos_500m,container_item_rows_500m,creator_count_500m,actor_players,observer_range,observer_distance_m,interest_bucket,rtt_ms,server_process_ms,process_budget,event_profile,modeled_movement_events_per_sec,modeled_reliable_events_per_sec,modeled_low_priority_events_per_sec,estimated_datagram_updates_per_sec,estimated_udp_kbps,priority_expectation
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,2,"green_under_tick","build_social",10.00,1.20,4.00,10.00,7.68,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,2,"green_under_tick","combat_build",20.00,3.00,6.00,20.00,15.36,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,2,"green_under_tick","event_surge",20.00,4.00,10.00,20.00,15.36,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,8,"green_under_tick","movement_only",20.00,0.05,0.10,20.00,15.36,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,8,"green_under_tick","build_social",10.00,1.20,4.00,10.00,7.68,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,8,"green_under_tick","combat_build",20.00,3.00,6.00,20.00,15.36,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,8,"green_under_tick","event_surge",20.00,4.00,10.00,20.00,15.36,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,16,"green_under_tick","movement_only",20.00,0.05,0.10,20.00,15.36,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,16,"green_under_tick","build_social",10.00,1.20,4.00,10.00,7.68,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,16,"green_under_tick","combat_build",20.00,3.00,6.00,20.00,15.36,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,16,"green_under_tick","event_surge",20.00,4.00,10.00,20.00,15.36,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,33,"yellow_near_tick","movement_only",20.00,0.05,0.10,20.00,15.36,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,33,"yellow_near_tick","build_social",10.00,1.20,4.00,10.00,7.68,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,33,"yellow_near_tick","combat_build",20.00,3.00,6.00,20.00,15.36,"protect_reliable_core_limit_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,33,"yellow_near_tick","event_surge",20.00,4.00,10.00,20.00,15.36,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,55,"red_over_budget","movement_only",20.00,0.05,0.10,20.00,15.36,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,55,"red_over_budget","build_social",10.00,1.20,4.00,10.00,7.68,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,55,"red_over_budget","combat_build",20.00,3.00,6.00,20.00,15.36,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"near",50,"near_20hz",200,55,"red_over_budget","event_surge",20.00,4.00,10.00,20.00,15.36,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,2,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,2,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,2,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,2,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,8,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,8,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,8,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,8,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,16,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,16,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,16,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,16,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,33,"yellow_near_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,33,"yellow_near_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,33,"yellow_near_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,33,"yellow_near_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,55,"red_over_budget","movement_only",20.00,0.05,0.10,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,55,"red_over_budget","build_social",10.00,1.20,4.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,55,"red_over_budget","combat_build",20.00,3.00,6.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",0,55,"red_over_budget","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,2,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,2,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,2,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,2,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,8,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,8,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,8,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,8,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,16,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,16,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,16,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,16,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,33,"yellow_near_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,33,"yellow_near_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,33,"yellow_near_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,33,"yellow_near_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,55,"red_over_budget","movement_only",20.00,0.05,0.10,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,55,"red_over_budget","build_social",10.00,1.20,4.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,55,"red_over_budget","combat_build",20.00,3.00,6.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",50,55,"red_over_budget","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,2,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,2,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,2,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,2,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,8,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,8,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,8,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,8,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,16,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,16,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,16,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,16,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,33,"yellow_near_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,33,"yellow_near_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,33,"yellow_near_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,33,"yellow_near_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,55,"red_over_budget","movement_only",20.00,0.05,0.10,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,55,"red_over_budget","build_social",10.00,1.20,4.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,55,"red_over_budget","combat_build",20.00,3.00,6.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",100,55,"red_over_budget","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,2,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,2,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,2,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,2,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,8,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,8,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,8,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,8,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,16,"green_under_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,16,"green_under_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,16,"green_under_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,16,"green_under_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,33,"yellow_near_tick","movement_only",20.00,0.05,0.10,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,33,"yellow_near_tick","build_social",10.00,1.20,4.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,33,"yellow_near_tick","combat_build",20.00,3.00,6.00,5.00,3.84,"thin_datagrams_to_5hz_defer_detail"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,33,"yellow_near_tick","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,55,"red_over_budget","movement_only",20.00,0.05,0.10,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,55,"red_over_budget","build_social",10.00,1.20,4.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,55,"red_over_budget","combat_build",20.00,3.00,6.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
"open_control","synthetic open control",0.00,0.00,0,0,0,0,1,"mid",200,"mid_5hz",200,55,"red_over_budget","event_surge",20.00,4.00,10.00,5.00,3.84,"protect_reliable_core_drop_low_priority"
